campaign_name,channel,campaign_type,region,objective,quarter,impressions,clicks,conversions,spend,revenue,likes,shares,comments,video_views,bounce_rate,ctr,cpc,cost_per_conversion,roas,engagement_rate,conversion_rate
Campaign_040,Facebook,Brand Awareness,LATAM,Retention,Q2_2024,599833,35122,2731,85367.16,242243.07,11656,3735,1578,54220,63.96,5.86,2.43,31.26,2.84,2.83,7.78
Campaign_041,Google Ads,Brand Awareness,APAC,Traffic,Q1_2024,92180,37930,3679,4506.81,309792.3,27698,4586,3699,93808,69.22,41.15,0.12,1.23,68.74,39.04,9.7
Campaign_042,Snapchat,Lead Gen,LATAM,Traffic,Q2_2024,622246,39782,4275,33576.09,167863.63,11663,5792,3296,137469,38.79,6.39,0.84,7.85,5.0,3.33,10.75
Campaign_043,Facebook,Lead Gen,LATAM,Awareness,Q1_2024,413081,3208,3117,93227.36,237740.38,46919,6267,1251,166597,67.92,0.78,29.06,29.91,2.55,13.18,97.16
Campaign_044,Snapchat,Lead Gen,APAC,Retention,Q2_2024,929723,12194,1436,73786.05,373418.14,43890,9803,3724,53072,78.07,1.31,6.05,51.38,5.06,6.18,11.78
Campaign_045,LinkedIn,Conversion,APAC,Leads,Q1_2024,311953,10024,3826,28857.71,436557.23,8334,2418,3844,83820,71.41,3.21,2.88,7.54,15.13,4.68,38.17
Campaign_046,Google Ads,Brand Awareness,APAC,Traffic,Q1_2024,388892,32380,2916,26012.26,219659.39,25619,350,364,23284,27.06,8.33,0.8,8.92,8.44,6.77,9.01
Campaign_047,TikTok,Conversion,APAC,Leads,Q1_2024,15287,39724,4838,1503.13,26612.52,27066,2827,2381,192402,64.38,259.85,0.04,0.31,17.7,211.12,12.18
Campaign_048,Pinterest,Lead Gen,Europe,Traffic,Q4_2024,267665,37480,3413,69875.71,85027.91,16273,2506,3014,83369,39.18,14.0,1.86,20.47,1.22,8.14,9.11
Campaign_049,X (Twitter),Brand Awareness,North America,Traffic,Q2_2024,961891,32909,4939,5829.57,15326.26,27087,5972,2998,25122,79.3,3.42,0.18,1.18,2.63,3.75,15.01
Campaign_050,Email,Conversion,LATAM,Traffic,Q2_2024,18512,13724,4174,53727.65,328365.19,13278,5309,967,130349,49.12,74.14,3.91,12.87,6.11,105.63,30.41
Campaign_051,Instagram,Conversion,APAC,Retention,Q2_2024,666702,41238,198,96250.08,169495.74,39438,9927,3637,70553,27.35,6.19,2.33,486.11,1.76,7.95,0.48
Campaign_052,TikTok,Lead Gen,APAC,Sales,Q1_2024,466292,25650,3900,11837.42,273526.92,24696,7584,1832,94788,63.51,5.5,0.46,3.04,23.11,7.32,15.2
Campaign_053,Google Ads,Brand Awareness,APAC,Leads,Q2_2024,118872,34893,2108,89553.51,249172.04,33274,1699,1618,62812,39.38,29.35,2.57,42.48,2.78,30.78,6.04
Campaign_054,X (Twitter),Lead Gen,Europe,Retention,Q2_2024,946720,43582,1186,99156.06,45355.61,42074,3277,1645,7999,79.82,4.6,2.28,83.61,0.46,4.96,2.72
Campaign_055,TikTok,Brand Awareness,APAC,Retention,Q1_2024,782042,8473,236,7090.19,204614.37,4531,4416,2221,22436,78.79,1.08,0.84,30.04,28.86,1.43,2.79
Campaign_056,Google Ads,Engagement,APAC,Retention,Q3_2024,103070,9077,2904,88407.72,114177.76,27864,8463,4317,42963,59.37,8.81,9.74,30.44,1.29,39.43,31.99
Campaign_057,YouTube,Retargeting,APAC,Retention,Q1_2024,614055,8570,1300,52091.82,212107.9,21727,1452,382,133168,27.79,1.4,6.08,40.07,4.07,3.84,15.17
Campaign_058,YouTube,Retargeting,North America,Retention,Q2_2024,632117,9166,1383,90744.86,105771.25,39410,8607,4219,156351,61.21,1.45,9.9,65.61,1.17,8.26,15.09
Campaign_059,Snapchat,Retargeting,Europe,Awareness,Q1_2024,954118,36868,4243,57560.58,421023.94,9006,4447,4290,108899,25.58,3.86,1.56,13.57,7.31,1.86,11.51
Campaign_060,TikTok,Lead Gen,APAC,Leads,Q3_2024,439474,7283,4200,66549.09,91225.7,37014,5445,374,26201,21.76,1.66,9.14,15.85,1.37,9.75,57.67
Campaign_061,YouTube,Engagement,LATAM,Retention,Q1_2024,52078,46494,2761,54834.11,480586.37,44914,8445,2201,150787,69.38,89.28,1.18,19.86,8.76,106.69,5.94
Campaign_062,Google Ads,Brand Awareness,LATAM,Leads,Q2_2024,378432,42414,4903,86584.8,210874.15,45479,4117,3752,160381,32.59,11.21,2.04,17.66,2.44,14.1,11.56
Campaign_063,Snapchat,Conversion,LATAM,Awareness,Q3_2024,617812,5471,4551,73657.08,423891.42,13176,570,656,146150,42.74,0.89,13.46,16.18,5.75,2.33,83.18
Campaign_064,Google Ads,Brand Awareness,Europe,Awareness,Q4_2024,237645,13990,1835,52604.77,316238.59,49392,8795,774,187686,78.41,5.89,3.76,28.67,6.01,24.81,13.12
Campaign_065,Snapchat,Conversion,Europe,Leads,Q2_2024,546507,46219,800,86947.92,368998.4,37750,5558,2426,5105,40.21,8.46,1.88,108.68,4.24,8.37,1.73
Campaign_066,TikTok,Brand Awareness,LATAM,Traffic,Q3_2024,796667,45580,1812,25283.27,385023.32,46981,1836,785,117666,37.79,5.72,0.55,13.95,15.23,6.23,3.98
Campaign_067,X (Twitter),Engagement,APAC,Sales,Q3_2024,315073,2490,3970,16576.73,254898.22,46513,7639,1721,94848,75.09,0.79,6.66,4.18,15.38,17.73,159.44
Campaign_068,Pinterest,Conversion,Europe,Traffic,Q4_2024,137309,5799,4510,16879.61,273933.76,6112,8335,3988,2839,26.64,4.22,2.91,3.74,16.23,13.43,77.77
Campaign_069,Facebook,Lead Gen,LATAM,Traffic,Q1_2024,339588,46265,531,34066.88,259427.95,7251,3148,1316,68920,65.57,13.62,0.74,64.16,7.62,3.45,1.15
Campaign_070,X (Twitter),Brand Awareness,LATAM,Traffic,Q1_2024,673927,20456,203,24630.31,296088.9,28311,7703,3364,43619,79.28,3.04,1.2,121.33,12.02,5.84,0.99
Campaign_071,LinkedIn,Brand Awareness,APAC,Retention,Q2_2024,898266,22859,1574,93078.94,19550.25,27217,8274,527,42821,74.08,2.54,4.07,59.14,0.21,4.01,6.89
Campaign_072,Google Ads,Conversion,North America,Awareness,Q4_2024,474008,46740,2170,11477.58,200780.01,36478,7852,526,125736,59.1,9.86,0.25,5.29,17.49,9.46,4.64
Campaign_073,LinkedIn,Lead Gen,Europe,Traffic,Q1_2024,730801,37648,2393,70200.08,305063.41,42752,6731,4883,144565,38.84,5.15,1.86,29.34,4.35,7.44,6.36
Campaign_074,X (Twitter),Lead Gen,APAC,Awareness,Q4_2024,356699,29234,1290,19732.93,300873.16,6994,7012,2325,17069,35.26,8.2,0.67,15.3,15.25,4.58,4.41
Campaign_075,Snapchat,Engagement,LATAM,Leads,Q1_2024,345842,5257,110,88282.08,397513.27,13567,4235,940,7531,69.16,1.52,16.79,802.56,4.5,5.42,2.09
Campaign_076,Facebook,Lead Gen,LATAM,Sales,Q3_2024,396594,19597,988,96170.21,329229.62,31110,2988,2235,168123,72.79,4.94,4.91,97.34,3.42,9.16,5.04
Campaign_077,Facebook,Lead Gen,APAC,Leads,Q1_2024,782608,10895,1689,47081.53,496105.99,49357,7383,4045,138808,51.53,1.39,4.32,27.88,10.54,7.77,15.5
Campaign_078,Instagram,Lead Gen,Europe,Leads,Q4_2024,670775,16741,4170,88028.08,145507.99,42741,5917,4588,138782,34.66,2.5,5.26,21.11,1.65,7.94,24.91
Campaign_079,Facebook,Retargeting,North America,Retention,Q3_2024,701519,38856,4276,1509.37,182779.76,12389,6107,4946,67155,26.78,5.54,0.04,0.35,121.1,3.34,11.0
Campaign_080,Pinterest,Engagement,North America,Sales,Q3_2024,53925,28196,3619,82174.74,195004.34,45076,5666,3702,145047,25.23,52.29,2.91,22.71,2.37,100.96,12.84
Campaign_081,Facebook,Brand Awareness,LATAM,Leads,Q3_2024,147023,5444,1302,23633.89,235577.34,43696,8994,2842,62424,63.14,3.7,4.34,18.15,9.97,37.77,23.92
Campaign_082,X (Twitter),Conversion,Europe,Leads,Q4_2024,97388,46663,4253,90961.43,418819.04,23271,4269,4088,45603,45.21,47.91,1.95,21.39,4.6,32.48,9.11
Campaign_083,Instagram,Brand Awareness,North America,Sales,Q2_2024,542295,20316,221,1110.89,121717.09,35005,8296,2466,154324,74.32,3.75,0.05,5.03,109.57,8.44,1.09
Campaign_084,X (Twitter),Engagement,Europe,Sales,Q2_2024,267802,37511,1508,56061.99,389120.1,20929,5911,3248,132503,64.38,14.01,1.49,37.18,6.94,11.24,4.02
Campaign_085,X (Twitter),Conversion,Europe,Leads,Q2_2024,445048,25417,3599,75906.94,205628.54,34154,9335,3364,168553,31.48,5.71,2.99,21.09,2.71,10.53,14.16
Campaign_086,Email,Engagement,LATAM,Sales,Q4_2024,68596,31695,4247,26610.14,302918.41,48578,4927,690,92573,56.83,46.21,0.84,6.27,11.38,79.01,13.4
Campaign_087,Instagram,Lead Gen,North America,Leads,Q3_2024,917533,22066,2372,20120.15,318107.56,44239,8439,2165,140629,46.13,2.4,0.91,8.48,15.81,5.98,10.75
Campaign_088,X (Twitter),Conversion,APAC,Leads,Q2_2024,958027,10416,1686,9325.72,189560.08,48813,2540,3993,103302,54.63,1.09,0.9,5.53,20.33,5.78,16.19
Campaign_089,Email,Lead Gen,LATAM,Retention,Q4_2024,361005,21306,3165,33316.92,258744.53,29834,1970,4071,131234,64.28,5.9,1.56,10.53,7.77,9.94,14.85
Campaign_090,Email,Brand Awareness,North America,Traffic,Q2_2024,789554,10484,4140,56424.59,209450.43,7152,7055,1572,165814,68.37,1.33,5.38,13.63,3.71,2.0,39.49
Campaign_091,Instagram,Brand Awareness,North America,Leads,Q1_2024,883172,2259,3054,12468.54,39220.73,3754,1058,43,19675,70.62,0.26,5.52,4.08,3.15,0.55,135.19
Campaign_092,LinkedIn,Conversion,North America,Awareness,Q2_2024,549812,42449,379,38292.84,221396.87,23586,5782,2549,73997,35.24,7.72,0.9,101.04,5.78,5.81,0.89
Campaign_093,Snapchat,Conversion,North America,Traffic,Q2_2024,532244,27338,3690,1898.17,53209.73,18843,2539,4880,148087,21.87,5.14,0.07,0.51,28.03,4.93,13.5
Campaign_094,Pinterest,Engagement,North America,Traffic,Q3_2024,422498,2982,3944,82049.26,205485.3,48468,2974,1261,181129,64.36,0.71,27.51,20.8,2.5,12.47,132.26
Campaign_095,Snapchat,Engagement,Europe,Traffic,Q4_2024,689290,24942,4157,13716.42,298494.61,24589,7147,2995,163663,26.38,3.62,0.55,3.3,21.76,5.04,16.67
Campaign_096,Facebook,Lead Gen,LATAM,Retention,Q3_2024,927581,34219,1391,29050.95,291810.38,8736,973,2201,140905,38.9,3.69,0.85,20.88,10.04,1.28,4.06
Campaign_097,Pinterest,Conversion,Europe,Leads,Q3_2024,509097,28465,3713,2824.34,332997.53,6541,546,3473,7896,20.23,5.59,0.1,0.76,117.9,2.07,13.04
Campaign_098,Facebook,Brand Awareness,APAC,Retention,Q3_2024,659789,2579,265,43791.84,52154.45,24711,7350,2713,164044,60.9,0.39,16.98,165.25,1.19,5.27,10.28
Campaign_099,X (Twitter),Engagement,North America,Leads,Q3_2024,817043,3217,388,84172.03,327801.01,42535,7189,306,49733,30.03,0.39,26.16,216.94,3.89,6.12,12.06
Campaign_100,Google Ads,Engagement,LATAM,Retention,Q3_2024,158056,28452,4112,39822.97,159513.29,12249,7977,651,41800,59.32,18.0,1.4,9.68,4.01,13.21,14.45
Campaign_101,Instagram,Brand Awareness,North America,Retention,Q2_2024,24060,21408,2758,18770.24,202527.74,34666,8744,4763,96044,79.5,88.98,0.88,6.81,10.79,200.22,12.88
Campaign_102,Pinterest,Engagement,LATAM,Awareness,Q3_2024,748345,42960,3202,75616.18,429703.2,42468,855,1764,5347,24.36,5.74,1.76,23.62,5.68,6.02,7.45
Campaign_103,Pinterest,Lead Gen,Europe,Retention,Q3_2024,487272,25361,1800,79091.89,9470.05,21775,5787,4356,190135,24.62,5.2,3.12,43.94,0.12,6.55,7.1
Campaign_104,X (Twitter),Conversion,LATAM,Sales,Q4_2024,528545,7811,2471,18201.59,296264.25,5595,3046,602,133715,40.42,1.48,2.33,7.37,16.28,1.75,31.63
Campaign_105,LinkedIn,Brand Awareness,APAC,Awareness,Q1_2024,839735,28571,759,77314.56,301363.42,42768,5957,666,40785,71.98,3.4,2.71,101.86,3.9,5.88,2.66
Campaign_106,Email,Conversion,APAC,Retention,Q2_2024,200279,24070,3776,94782.49,201346.59,13773,2504,4335,18681,32.93,12.02,3.94,25.1,2.12,10.29,15.69
Campaign_107,X (Twitter),Engagement,LATAM,Traffic,Q2_2024,740406,18949,3692,17471.38,122328.79,11230,2729,1373,181098,41.62,2.56,0.92,4.73,7.0,2.07,19.48
Campaign_108,YouTube,Engagement,LATAM,Sales,Q2_2024,694647,34036,4043,77327.44,121163.65,22768,1894,2586,103864,24.11,4.9,2.27,19.13,1.57,3.92,11.88
Campaign_109,Email,Brand Awareness,LATAM,Sales,Q3_2024,49711,38758,538,71148.63,442436.29,15322,4359,3873,146964,65.79,77.97,1.84,132.25,6.22,47.38,1.39
Campaign_110,Instagram,Lead Gen,LATAM,Sales,Q3_2024,153026,48802,96,47883.81,223802.07,23769,5189,3542,47299,44.5,31.89,0.98,498.79,4.67,21.24,0.2
Campaign_111,Email,Retargeting,APAC,Awareness,Q3_2024,345484,29365,3409,6734.13,168790.23,34168,6620,4870,17073,65.55,8.5,0.23,1.98,25.06,13.22,11.61
Campaign_112,LinkedIn,Brand Awareness,North America,Retention,Q4_2024,475317,7145,4923,8394.75,227144.9,23353,6440,4313,102304,74.22,1.5,1.17,1.71,27.06,7.18,68.9
Campaign_113,Email,Retargeting,LATAM,Retention,Q1_2024,999024,38500,4856,85389.05,336348.25,9535,7164,4563,30682,33.97,3.85,2.22,17.58,3.94,2.13,12.61
Campaign_114,Instagram,Retargeting,LATAM,Traffic,Q3_2024,228134,27237,450,99024.69,77149.5,28652,6498,287,124302,68.44,11.94,3.64,220.05,0.78,15.53,1.65
Campaign_115,LinkedIn,Lead Gen,APAC,Traffic,Q1_2024,112974,11985,4040,67929.17,227469.75,37484,4747,3683,145361,23.55,10.61,5.67,16.81,3.35,40.64,33.71
Campaign_116,Snapchat,Retargeting,APAC,Sales,Q4_2024,159646,39065,3207,45149.87,296002.76,16493,6535,1491,115359,73.93,24.47,1.16,14.08,6.56,15.36,8.21
Campaign_117,Pinterest,Retargeting,Europe,Traffic,Q2_2024,412400,26022,4395,65109.79,474548.76,10717,3860,4087,138999,59.05,6.31,2.5,14.81,7.29,4.53,16.89
Campaign_118,Pinterest,Lead Gen,LATAM,Awareness,Q3_2024,160168,12842,440,59845.19,130001.25,38620,699,4188,179402,72.45,8.02,4.66,136.01,2.17,27.16,3.43
Campaign_119,Facebook,Retargeting,Europe,Retention,Q1_2024,602016,41306,3903,38977.61,182829.12,9952,5185,465,66707,20.01,6.86,0.94,9.99,4.69,2.59,9.45
Campaign_120,Snapchat,Retargeting,APAC,Sales,Q1_2024,699376,49270,4480,7496.99,192782.5,31501,8658,2330,65428,30.14,7.04,0.15,1.67,25.71,6.08,9.09
Campaign_121,Snapchat,Retargeting,APAC,Traffic,Q3_2024,545534,13587,678,82329.78,304741.39,6395,5088,3759,50601,43.39,2.49,6.06,121.43,3.7,2.79,4.99
Campaign_122,Email,Brand Awareness,North America,Awareness,Q2_2024,448774,38141,4282,37811.52,181582.37,36093,5458,2473,133611,42.77,8.5,0.99,8.83,4.8,9.81,11.23
Campaign_123,Pinterest,Brand Awareness,LATAM,Awareness,Q2_2024,521937,34749,2980,82059.78,269088.4,34184,1189,1729,111487,33.6,6.66,2.36,27.54,3.28,7.11,8.58
Campaign_124,Instagram,Brand Awareness,Europe,Traffic,Q2_2024,421597,10593,1571,25998.37,391986.21,45205,9084,1381,153741,42.9,2.51,2.45,16.55,15.08,13.2,14.83
Campaign_125,TikTok,Lead Gen,APAC,Retention,Q4_2024,924228,47690,876,1101.92,354165.87,39675,6416,2748,151716,27.73,5.16,0.02,1.26,321.41,5.28,1.84
Campaign_126,TikTok,Engagement,APAC,Traffic,Q1_2024,963959,16938,4872,16734.89,225952.48,36551,8601,519,149817,44.77,1.76,0.99,3.43,13.5,4.74,28.76
Campaign_127,LinkedIn,Retargeting,Europe,Sales,Q1_2024,102263,40911,1550,47385.4,432787.01,7327,6917,707,28228,68.14,40.01,1.16,30.57,9.13,14.62,3.79
Campaign_128,Pinterest,Retargeting,North America,Traffic,Q1_2024,931522,26899,3344,94486.06,281279.42,32010,8810,1658,165593,48.74,2.89,3.51,28.26,2.98,4.56,12.43
Campaign_129,Pinterest,Lead Gen,APAC,Awareness,Q4_2024,545590,20346,2469,11117.17,272253.39,36141,1648,2071,122788,21.08,3.73,0.55,4.5,24.49,7.31,12.14
Campaign_130,TikTok,Retargeting,LATAM,Traffic,Q1_2024,863938,16208,984,85566.77,21922.94,23484,5681,27,97239,45.29,1.88,5.28,86.96,0.26,3.38,6.07
Campaign_131,Pinterest,Brand Awareness,APAC,Retention,Q4_2024,575445,44539,3092,53175.39,493413.03,245,6938,2465,26928,21.63,7.74,1.19,17.2,9.28,1.68,6.94
Campaign_132,Email,Engagement,LATAM,Leads,Q2_2024,589205,45868,4547,82766.16,65870.55,37878,1392,1309,18322,77.97,7.78,1.8,18.2,0.8,6.89,9.91
Campaign_133,YouTube,Conversion,Europe,Traffic,Q3_2024,233810,11498,1516,30539.07,119409.8,16135,1413,3305,188786,27.65,4.92,2.66,20.14,3.91,8.92,13.18
Campaign_134,Google Ads,Retargeting,LATAM,Retention,Q1_2024,106646,47563,3611,84154.77,30589.93,3140,9021,366,87896,62.46,44.6,1.77,23.31,0.36,11.75,7.59
Campaign_135,Snapchat,Brand Awareness,Europe,Retention,Q1_2024,355266,31178,664,77509.46,321801.47,42522,3302,3732,62292,78.37,8.78,2.49,116.73,4.15,13.95,2.13
Campaign_136,Facebook,Conversion,LATAM,Awareness,Q2_2024,820951,11182,1232,23775.31,116227.08,26260,9021,1289,29055,69.56,1.36,2.13,19.3,4.89,4.45,11.02
Campaign_137,LinkedIn,Engagement,Europe,Retention,Q3_2024,500025,49648,3273,14002.18,94105.17,49734,429,519,42891,61.96,9.93,0.28,4.28,6.72,10.14,6.59
Campaign_138,YouTube,Conversion,LATAM,Retention,Q4_2024,490703,9019,2717,86937.38,48835.01,17733,4527,453,81912,70.37,1.84,9.64,32.0,0.56,4.63,30.13
Campaign_139,TikTok,Brand Awareness,North America,Retention,Q3_2024,984323,31980,180,96360.43,56137.93,29444,3312,1860,137660,78.91,3.25,3.01,535.34,0.58,3.52,0.56
Campaign_140,Snapchat,Conversion,LATAM,Retention,Q2_2024,353054,20194,3033,4098.93,294412.0,17114,7867,4974,90536,57.28,5.72,0.2,1.35,71.83,8.48,15.02
Campaign_141,Pinterest,Lead Gen,LATAM,Sales,Q2_2024,916862,3800,4328,73395.74,345662.89,15096,9710,3567,6304,53.55,0.41,19.31,16.96,4.71,3.09,113.89
Campaign_142,Facebook,Conversion,North America,Sales,Q3_2024,867756,7222,4509,91042.93,201702.6,49204,7880,2525,7345,57.69,0.83,12.61,20.19,2.22,6.87,62.43
Campaign_143,Pinterest,Retargeting,APAC,Awareness,Q4_2024,277552,40486,88,85878.65,242549.06,41721,5703,3086,160372,51.96,14.59,2.12,975.89,2.82,18.2,0.22
Campaign_144,Instagram,Retargeting,APAC,Traffic,Q4_2024,69379,24660,4009,96487.53,344554.03,11795,777,1433,155331,58.11,35.54,3.91,24.07,3.57,20.19,16.26
Campaign_145,Instagram,Lead Gen,LATAM,Retention,Q1_2024,35053,20559,3637,76249.31,13603.0,2952,2054,3972,91006,46.99,58.65,3.71,20.96,0.18,25.61,17.69
Campaign_146,Facebook,Brand Awareness,North America,Traffic,Q4_2024,412662,36322,970,44787.58,164949.68,16114,1559,927,146424,33.11,8.8,1.23,46.17,3.68,4.51,2.67
Campaign_147,Facebook,Retargeting,LATAM,Traffic,Q3_2024,666282,14075,2819,31883.25,486683.39,27142,9966,3142,129350,27.21,2.11,2.27,11.31,15.26,6.04,20.03
